avg_word_len,ttr,punc_density,avg_sent_len,author
4.914163090128755,0.5643776824034334,0.20442930153321975,39.13333333333333,Jane Austen
4.800411522633745,0.5617283950617284,0.16145833333333334,52.36363636363637,Jane Austen
4.631578947368421,0.5404858299595142,0.1574539363484087,49.75,Jane Austen
4.37125748502994,0.5129740518962076,0.1111111111111111,43.61538461538461,Jane Austen
4.470338983050848,0.5360169491525424,0.20431893687707642,31.68421052631579,Jane Austen
4.546201232032854,0.5195071868583162,0.1451048951048951,52.0,Jane Austen
4.586206896551724,0.5578093306288032,0.1289198606271777,47.833333333333336,Jane Austen
4.418367346938775,0.5081632653061224,0.1252236135957066,43.0,Jane Austen
4.464968152866242,0.524416135881104,0.12289562289562289,37.125,Jane Austen
4.472684085510688,0.5320665083135392,0.06800618238021638,23.962962962962962,Jane Austen
3.902335456475584,0.4437367303609342,0.17124394184168013,32.578947368421055,Jane Austen
4.113733905579399,0.48497854077253216,0.19480519480519481,29.333333333333332,Jane Austen
4.029106029106029,0.46153846153846156,0.1865203761755486,29.0,Jane Austen
4.44558521560575,0.5051334702258727,0.15946843853820597,28.666666666666668,Jane Austen
4.589211618257261,0.4730290456431535,0.15625,33.88235294117647,Jane Austen
4.391752577319588,0.49896907216494846,0.15126050420168066,25.869565217391305,Jane Austen
4.184265010351967,0.4720496894409938,0.20064205457463885,19.46875,Jane Austen
4.274747474747475,0.509090909090909,0.13969335604770017,30.894736842105264,Jane Austen
4.564777327935222,0.4939271255060729,0.140625,26.181818181818183,Jane Austen
4.29253112033195,0.508298755186722,0.20504731861198738,30.19047619047619,Jane Austen
4.144351464435147,0.4895397489539749,0.17105263157894737,40.53333333333333,Jane Austen
4.135353535353535,0.4767676767676768,0.13036020583190394,36.4375,Jane Austen
4.323170731707317,0.49796747967479676,0.10934744268077601,33.35294117647059,Jane Austen
4.336065573770492,0.5081967213114754,0.14858096828046743,74.875,Jane Austen
4.25206611570248,0.48760330578512395,0.16720257234726688,44.42857142857143,Jane Austen
4.502024291497976,0.5404858299595142,0.15702479338842976,30.25,Jane Austen
4.226069246435845,0.49490835030549896,0.14333333333333334,35.294117647058826,Jane Austen
4.113636363636363,0.4628099173553719,0.17823343848580442,39.625,Jane Austen
4.294715447154472,0.4959349593495935,0.14662273476112025,27.59090909090909,Jane Austen
4.688888888888889,0.5111111111111111,0.1423670668953688,30.68421052631579,Jane Austen
4.3070539419087135,0.5186721991701245,0.18066561014263074,33.21052631578947,Jane Austen
4.224532224532225,0.4698544698544699,0.14262295081967213,43.57142857142857,Jane Austen
4.343621399176954,0.4773662551440329,0.15235008103727715,38.5625,Jane Austen
4.683673469387755,0.5040816326530613,0.1476510067114094,27.09090909090909,Jane Austen
4.190871369294606,0.4854771784232365,0.1645367412140575,36.8235294117647,Jane Austen
4.262396694214876,0.4834710743801653,0.18181818181818182,19.25,Jane Austen
4.464876033057851,0.5227272727272727,0.1703204047217538,29.65,Jane Austen
4.219206680584551,0.4613778705636743,0.1423948220064725,32.526315789473685,Jane Austen
4.346855983772819,0.4827586206896552,0.1373534338358459,59.7,Jane Austen
4.5,0.5102040816326531,0.12864493996569468,36.4375,Jane Austen
4.3979591836734695,0.5387755102040817,0.15537190082644628,35.588235294117645,Jane Austen
4.531958762886598,0.5402061855670103,0.16917922948073702,22.96153846153846,Jane Austen
4.232793522267206,0.49190283400809715,0.13851351351351351,37.0,Jane Austen
4.204081632653061,0.4775510204081633,0.17174959871589085,24.92,Jane Austen
4.573770491803279,0.5061475409836066,0.16585365853658537,25.625,Jane Austen
4.546370967741935,0.5161290322580645,0.13391304347826086,31.944444444444443,Jane Austen
4.055900621118012,0.5010351966873706,0.1724137931034483,29.0,Jane Austen
4.434343434343434,0.5414141414141415,0.12984822934232715,74.125,Jane Austen
4.106995884773663,0.48559670781893005,0.1576271186440678,25.652173913043477,Jane Austen
4.477822580645161,0.5060483870967742,0.13321799307958476,28.9,Jane Austen
4.561728395061729,0.5329218106995884,0.12776831345826234,39.13333333333333,Jane Austen
4.642710472279261,0.5564681724845996,0.1514629948364888,38.733333333333334,Jane Austen
4.490872210953347,0.5253549695740365,0.1799660441426146,42.07142857142857,Jane Austen
4.605263157894737,0.5,0.14776632302405499,30.63157894736842,Jane Austen
4.664634146341464,0.5060975609756098,0.14604810996563575,44.76923076923077,Jane Austen
4.61522633744856,0.49794238683127573,0.15478260869565216,63.888888888888886,Jane Austen
4.401639344262295,0.5163934426229508,0.1625207296849088,25.125,Jane Austen
4.331950207468879,0.487551867219917,0.18013468013468015,37.125,Jane Austen
4.158536585365853,0.45934959349593496,0.17320261437908496,34.0,Jane Austen
4.28952772073922,0.4887063655030801,0.17733990147783252,33.833333333333336,Jane Austen
4.424116424116424,0.5114345114345115,0.16859504132231404,33.611111111111114,Jane Austen
4.54601226993865,0.49693251533742333,0.13822525597269625,36.625,Jane Austen
4.537987679671458,0.5379876796714579,0.15042735042735042,32.5,Jane Austen
4.474747474747475,0.5050505050505051,0.13080895008605853,41.5,Jane Austen
4.605691056910569,0.491869918699187,0.12522045855379188,47.25,Jane Austen
4.351239669421488,0.5082644628099173,0.1623931623931624,29.25,Jane Austen
4.380165289256198,0.5330578512396694,0.17898193760262726,38.0625,Jane Austen
4.16869918699187,0.5,0.1677115987460815,42.53333333333333,Jane Austen
4.3061224489795915,0.47551020408163264,0.14593698175787728,46.38461538461539,Jane Austen
4.33264887063655,0.5010266940451745,0.1282051282051282,34.411764705882355,Jane Austen
4.466666666666667,0.5272727272727272,0.11478260869565217,44.23076923076923,Jane Austen
4.364562118126273,0.505091649694501,0.12345679012345678,31.5,Jane Austen
4.415506958250497,0.5069582504970179,0.12991452991452992,29.25,Jane Austen
4.424489795918367,0.5061224489795918,0.1261101243339254,35.1875,Jane Austen
4.734020618556701,0.5298969072164949,0.15689655172413794,32.22222222222222,Jane Austen
4.368421052631579,0.5344129554655871,0.17520661157024794,33.611111111111114,Jane Austen
4.18989898989899,0.503030303030303,0.12241379310344827,38.666666666666664,Jane Austen
4.270875763747454,0.47046843177189407,0.1289198606271777,44.15384615384615,Jane Austen
4.761806981519507,0.5277207392197125,0.13344887348353554,38.46666666666667,Jane Austen
4.114406779661017,0.4343220338983051,0.17944535073409462,24.52,Jane Austen
4.251521298174442,0.4969574036511156,0.15151515151515152,25.82608695652174,Jane Austen
4.595528455284553,0.5304878048780488,0.1494057724957555,45.30769230769231,Jane Austen
4.563894523326572,0.5273833671399595,0.15008431703204048,34.88235294117647,Jane Austen
4.351020408163265,0.4857142857142857,0.11754385964912281,33.529411764705884,Jane Austen
4.156941649899396,0.45472837022132795,0.1319796954314721,34.76470588235294,Jane Austen
4.517102615694165,0.5211267605633803,0.13643926788685523,42.92857142857143,Jane Austen
4.658585858585859,0.509090909090909,0.11599297012302284,35.5625,Jane Austen
4.558282208588957,0.5255623721881391,0.13893653516295026,41.642857142857146,Jane Austen
4.539393939393939,0.5232323232323233,0.12435233160621761,41.357142857142854,Jane Austen
4.761710794297352,0.515274949083503,0.15213675213675212,39.0,Jane Austen
